"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","12","tests","test_feature_engine","TestComputeFeatures","","","Compute features handles missing close prices","compute_features should handle missing close prices."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","0","tests","test_scanner_service","TestStockEvaluation","","","Profit calculation is correct","
    Verifies profit calculation: Target - Entry
    Used to show expected profit in rupees for each signal.
    "
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","0","tests","test_indicators","TestEMA","","","EMA returns correct length","EMA should return same length as input."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","12","tests","test_feature_engine","TestComputeFeatures","","","Feature values are within expected ranges","
    Validates that all computed features are within valid ranges.
    Out-of-range values indicate calculation errors.
    "
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","1","tests","test_scanner_service","TestSignalEvaluation","","","BUY signal LOSS when low <= stop","
    Verifies BUY signal LOSS condition: price hits stop-loss.
    This is the loss-limiting mechanism for BUY signals.
    "
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","0","tests","test_scanner_service","TestStockEvaluation","","","Pattern boost stays within bounds","
    Verifies pattern boost keeps probability between 0 and 1.
    Critical for preventing invalid probability values.
    "
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","BUY signal WIN when high >= target","
    Verifies BUY signal WIN condition: price reaches target.
    This is the profitable outcome for BUY signals.
    "
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","1","tests","test_indicators","TestEMA","","","EMA handles short series","EMA should handle series shorter than period."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","12","tests","test_feature_engine","TestComputeFeatures","","","Compute features handles non-numeric data","compute_features should handle non-numeric data in close column."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","11","tests","test_feature_engine","TestFeatureEngineEdgeCases","","","Features handle single valid row after dropna","Features should handle case where only one row remains after dropna."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","5","tests","test_indicators","TestRSI","","","RSI with custom period","RSI should work with different period values."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","23","tests","test_feature_engine","TestComputeFeatures","","","Trend direction matches moving average relationship","Trend direction should be 1 when fast MA > slow MA."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","3","tests","test_indicators","TestATR","","","ATR handles zero volatility","ATR should handle zero volatility (flat prices)."
"passed","Tue Mar 10 11:06:16 UTC 2026","Tue Mar 10 11:06:16 UTC 2026","3","tests","test_indicators","TestATR","","","ATR returns non-negative values","ATR should never be negative."
