"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","29","tests","test_scanner_service","TestSignalPersistence","","","test_log_signal_candidate_deduplicates_and_preserves_levels","Persisted signals should keep stop/target correct and avoid duplicates."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestStockEvaluation","","","Pattern boost stays within bounds","
    Verifies pattern boost keeps probability between 0 and 1.
    Critical for preventing invalid probability values.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_indicators","TestEMA","","","EMA converges to price for flat series","EMA should converge to price level for flat prices."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","29","tests","test_feature_engine","TestFeatureEngineEdgeCases","","","Features handle extreme volatility","Features should handle extreme price swings."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_scanner_service","TestSignalPersistence","","","test_scan_market_is_read_only_by_default","Scanner endpoint behavior should not persist candidates unless asked."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","4","tests","test_indicators","TestRSI","","","RSI handles volatile prices","
    Verifies RSI handles extreme price volatility without errors.
    Tests with rapidly changing prices to ensure calculation stability.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_paper_trading_service","","","","test_validate_signal_rejects_illiquid_signal","Configured liquidity floors should reject low-volume signals."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestModelLoading","","","test_trained_model_missing_is_non_fatal","Optional trained model should degrade gracefully when absent."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_scanner_service","TestScannerEdgeCases","","","Pattern boost calculation with insufficient samples","Pattern boost should not apply with < 10 samples."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","31","tests","test_feature_engine","TestFeatureEngineEdgeCases","","","Features handle single valid row after dropna","Features should handle case where only one row remains after dropna."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","2","tests","test_indicators","TestRSI","","","RSI handles series with NaN values","RSI should handle NaN values in the series."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","29","tests","test_feature_engine","TestComputeFeatures","","","Compute features handles missing close prices","compute_features should handle missing close prices."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_scanner_service","TestSignalPersistence","","","test_scan_market_persists_only_when_enabled","Background learning workflow can explicitly opt into persistence."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","3","tests","test_indicators","TestRSI","","","RSI handles flat prices correctly","
    Verifies RSI behavior when prices don't move (flat market).
    
    Expected behavior:
    - RSI should return 50 (neutral) for flat prices
    - This indicates no momentum in either direction
    
    Why this matters:
    - Flat prices mean no gains or losses
    - RSI should reflect neutral market condition
    - Prevents false signals in sideways markets
    "
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","29","tests","test_feature_engine","TestComputeFeatures","","","Compute features returns all required fields","
    Verifies that compute_features returns all required fields for ML model input.
    Missing fields would cause model prediction to fail.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","5","tests","test_indicators","TestRSI","","","RSI with custom period","RSI should work with different period values."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_indicators","TestATR","","","ATR handles missing columns gracefully","ATR should handle missing required columns."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","2","tests","test_scanner_service","TestModelLoading","","","test_baseline_model_missing_raises_clear_error","Required baseline model should fail with a targeted message."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","29","tests","test_feature_engine","TestComputeFeatures","","","Compute features handles non-numeric data","compute_features should handle non-numeric data in close column."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","3","tests","test_paper_trading_service","","","","test_validate_signal_accepts_loaded_config_thresholds","Loaded config should be usable by ATR and ML agreement checks."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","1","tests","test_backtesting_service","","","","test_metrics_calculates_profit_factor_and_drawdown","Backtest metrics should summarize trade outcomes."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","6","tests","test_paper_trading_service","","","","test_risk_control_state_pauses_after_daily_loss","Closed losses beyond the daily cap should pause new trades."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestStockEvaluation","","","Profit calculation is correct","
    Verifies profit calculation: Target - Entry
    Used to show expected profit in rupees for each signal.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestStockEvaluation","","","Confidence is High when probability >= 70%","
    Verifies the 70% threshold for High confidence classification.
    High confidence signals are prioritized for trading.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","2","tests","test_scanner_service","TestModelLoading","","","test_get_model_status_reports_loaded_models","Status should reflect successful cached model availability."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","SELL signal WIN when low <= target","SELL signal should WIN when price hits target."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","29","tests","test_feature_engine","TestComputeFeatures","","","Feature values are within expected ranges","
    Validates that all computed features are within valid ranges.
    Out-of-range values indicate calculation errors.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","4","tests","test_indicators","TestATR","","","ATR with custom period","ATR should work with different period values."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","3","tests","test_indicators","TestRSI","","","RSI returns values between 0 and 100","
    Verifies that RSI calculation always produces values within the valid range of 0-100.
    
    This is critical because:
    - RSI values outside this range indicate calculation errors
    - Trading decisions depend on accurate RSI values
    - Invalid RSI could lead to incorrect signals
    
    Test validates:
    - All RSI values are >= 0
    - All RSI values are <= 100
    - No NaN values in output (after initial period)
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_indicators","TestEMA","","","EMA returns correct length","EMA should return same length as input."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_scanner_service","TestStockEvaluation","","","Verdict is TRADE when probability >= 65%","
    Verifies the critical 65% threshold for TRADE verdict.
    This threshold determines whether a signal is actionable.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","Signal evaluation handles both target and stop hit","When both target and stop are hit, first check wins (target priority)."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","BUY signal LOSS when low <= stop","
    Verifies BUY signal LOSS condition: price hits stop-loss.
    This is the loss-limiting mechanism for BUY signals.
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","1","tests","test_scanner_service","TestSignalEvaluation","","","BUY signal WIN when high >= target","
    Verifies BUY signal WIN condition: price reaches target.
    This is the profitable outcome for BUY signals.
    "
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","30","tests","test_feature_engine","TestComputeFeatures","","","Compute features handles insufficient data","compute_features should handle insufficient data gracefully."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","48","tests","test_backtesting_service","","","","test_normalize_ohlcv_removes_ticker_row","Provider ticker rows should not become price data."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","SELL signal LOSS when high >= stop","SELL signal should LOSS when price hits stop."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","2","tests","test_paper_trading_service","","","","test_paper_trading_config_parses_decimal_thresholds","Decimal config values should load as numbers for risk math."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","2","tests","test_indicators","TestATR","","","ATR returns non-negative values","ATR should never be negative."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestSignalEvaluation","","","Signal with no outcome remains pending","Signal should remain pending if neither target nor stop is hit."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","11","tests","test_paper_trading_service","","","","test_prediction_freshness_metadata_reads_latest_candle","Prediction metadata should expose the exact candle snapshot used."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","450","tests","test_backtesting_service","","","","test_run_backtest_for_stock_generates_trades_on_trending_data","A clean trend should produce at least one simulated trade."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","3","tests","test_indicators","TestATR","","","ATR handles zero volatility","ATR should handle zero volatility (flat prices)."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestScannerEdgeCases","","","Handle missing CSV file gracefully","Scanner should handle missing CSV files gracefully."
"passed","Wed Jul 08 12:10:09 UTC 2026","Wed Jul 08 12:10:09 UTC 2026","29","tests","test_feature_engine","TestComputeFeatures","","","RSI zone mapping is correct","
    Verifies RSI zone mapping:
    - Zone 0: RSI < 30 (oversold)
    - Zone 1: 30 ≤ RSI < 50 (weak)
    - Zone 2: 50 ≤ RSI < 70 (strong)
    - Zone 3: RSI ≥ 70 (overbought)
    "
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_paper_trading_service","","","","test_validate_signal_rejects_low_rr_after_slippage","Slippage-aware reward/risk should block thin reward setups."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_scanner_service","TestScannerEdgeCases","","","Handle empty patterns list","Scanner should handle empty patterns list (no SimpleMem data yet)."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","59","tests","test_feature_engine","TestComputeFeatures","","","Trend direction matches moving average relationship","Trend direction should be 1 when fast MA > slow MA."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","8","tests","test_paper_trading_service","","","","test_execute_paper_trade_respects_loss_streak_circuit_breaker","A configured loss streak should block new paper trades before insertion."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","0","tests","test_indicators","TestEMA","","","EMA handles short series","EMA should handle series shorter than period."
"passed","Wed Jul 08 12:10:10 UTC 2026","Wed Jul 08 12:10:10 UTC 2026","3","tests","test_indicators","TestRSI","","","RSI handles empty series gracefully","RSI should handle empty series without crashing."
